audit_date,ticket_id,technician,team,ticket_type,category,subcategory,priority,status,created_date,resolved_date,resolution_time_hours,documentation_score,categorization_result,routing_result,escalation_result,audit_result,opportunity_for_improvement,auditor_notes
2025-11-06,MOCK-10038,Tech B,Service Desk,Incident,Other,Duplicate Ticket,Low,Closed,2025-11-06 09:43,2025-11-06 09:50,0.1,98,Correct,Correct,Not Needed,Test Ticket,None,Marked as test or duplicate with no operational impact.
2025-11-06,MOCK-10039,Tech C,Desktop Support,Incident,Hardware,Desktop,Medium,Closed,2025-11-06 10:05,2025-11-06 16:05,6.0,84,Correct,Correct,Not Needed,Pass,None,Repair outcome was captured.
2025-11-06,MOCK-10040,Tech D,EUC,Incident,Citrix / VDI,Profile Issue,Medium,Closed,2025-11-06 10:18,2025-11-06 11:30,1.2,71,Correct,Correct,Not Needed,Not Enough Information,Missing Troubleshooting Detail,Profile fix was noted without supporting steps.
2025-11-07,MOCK-10041,Tech E,Applications,Incident,EHR Access,Login Issue,High,Closed,2025-11-07 08:07,2025-11-07 09:44,1.6,90,Correct,Correct,Needed,Pass,None,Access issue and resolution were clearly documented.
2025-11-07,MOCK-10042,Tech F,Security,Incident,MFA,Device Change,High,Closed,2025-11-07 08:18,2025-11-07 08:56,0.6,86,Correct,Correct,Not Needed,Pass,None,Verification and reset notes were sufficient.
2025-11-07,MOCK-10043,Tech A,Service Desk,Incident,Account Access,Account Lockout,Medium,Closed,2025-11-07 08:30,2025-11-07 09:00,0.5,74,Correct,Correct,Not Needed,Not Enough Information,Missing Verification Detail,User verification detail was incomplete.
2025-11-07,MOCK-10044,Tech B,Service Desk,Incident,Microsoft 365,Outlook,Medium,Closed,2025-11-07 08:48,2025-11-07 10:05,1.3,89,Correct,Correct,Not Needed,Pass,None,Good troubleshooting sequence.
2025-11-07,MOCK-10045,Tech C,Desktop Support,Request,Software,Install Request,Low,Closed,2025-11-07 09:04,2025-11-07 14:20,5.3,68,Correct,Correct,Not Needed,Improper Handling,Missing Approval Evidence,Ticket did not show approval before install.
2025-11-07,MOCK-10046,Tech D,EUC,Incident,Citrix / VDI,Connection Timeout,High,Closed,2025-11-07 09:19,2025-11-07 10:50,1.5,81,Correct,Correct,Needed,Pass,None,Priority and resolution details were acceptable.
2025-11-07,MOCK-10047,Tech E,Applications,Incident,EHR Access,Role Access,High,Closed,2025-11-07 09:34,2025-11-07 13:10,3.6,66,Incorrect,Correct,Weak Evidence,Escalation / Priority Issue,Weak Escalation Evidence,Escalation path and role detail were not clear.
2025-11-07,MOCK-10048,Tech F,Network,Incident,Network Connectivity,Wired Connection,High,Closed,2025-11-07 09:50,2025-11-07 11:25,1.6,92,Correct,Correct,Needed,Pass,None,Network troubleshooting and handoff notes were complete.
2025-11-07,MOCK-10049,Tech A,Service Desk,Incident,Printer,Badge Printing,Medium,Closed,2025-11-07 10:07,2025-11-07 10:57,0.8,88,Correct,Correct,Not Needed,Pass,None,Issue and close notes were clear.
2025-11-07,MOCK-10050,Tech B,Service Desk,Incident,MFA,Token Reset,Medium,Closed,2025-11-07 10:21,2025-11-07 10:45,0.4,72,Correct,Correct,Not Needed,Not Enough Information,Incomplete Troubleshooting Notes,Ticket lacked enough troubleshooting context.
2025-11-10,MOCK-10051,Tech C,Desktop Support,Incident,Hardware,Laptop,Medium,Closed,2025-11-10 08:09,2025-11-10 15:10,7.0,93,Correct,Correct,Not Needed,Pass,None,Repair notes and user confirmation were complete.
2025-11-10,MOCK-10052,Tech D,EUC,Incident,Citrix / VDI,Application Launch,High,Closed,2025-11-10 08:20,2025-11-10 09:30,1.2,78,Correct,Correct,Weak Evidence,Escalation / Priority Issue,Missing Impact Detail,Escalation note did not explain operational impact.
2025-11-10,MOCK-10053,Tech E,Applications,Incident,Microsoft 365,Teams,Medium,Closed,2025-11-10 08:37,2025-11-10 09:48,1.2,87,Correct,Correct,Not Needed,Pass,None,Clear troubleshooting and final outcome.
2025-11-10,MOCK-10054,Tech F,Security,Incident,Account Access,Access Review,High,Closed,2025-11-10 08:52,2025-11-10 11:05,2.2,84,Correct,Correct,Needed,Pass,None,Access review notes were sufficient.
2025-11-10,MOCK-10055,Tech A,Service Desk,Incident,Account Access,Password Reset,Medium,Closed,2025-11-10 09:05,2025-11-10 09:25,0.3,62,Correct,Correct,Not Needed,Not Enough Information,Missing Verification Detail,Verification method was not included.
2025-11-10,MOCK-10056,Tech B,Service Desk,Incident,Printer,Label Printer,Medium,Closed,2025-11-10 09:18,2025-11-10 10:08,0.8,86,Correct,Correct,Not Needed,Pass,None,Good details for printer queue and resolution.
2025-11-10,MOCK-10057,Tech C,Desktop Support,Incident,Software,Application Error,Medium,Closed,2025-11-10 09:32,2025-11-10 12:45,3.2,75,Incorrect,Correct,Not Needed,Improper Categorization,Incorrect Subcategory,Application issue was placed under a generic subcategory.
2025-11-10,MOCK-10058,Tech D,EUC,Incident,Citrix / VDI,Performance,Medium,Closed,2025-11-10 09:49,2025-11-10 11:00,1.2,88,Correct,Correct,Not Needed,Pass,None,Performance issue was documented clearly.
2025-11-10,MOCK-10059,Tech E,Applications,Incident,EHR Access,Module Error,High,Closed,2025-11-10 10:03,2025-11-10 14:05,4.0,70,Correct,Routing Concern,Needed,Routing Issue,Routing Mismatch,Initial assignment did not match application ownership.
2025-11-10,MOCK-10060,Tech F,Network,Incident,Network Connectivity,Vpn,High,Closed,2025-11-10 10:19,2025-11-10 11:33,1.2,91,Correct,Correct,Needed,Pass,None,VPN troubleshooting and escalation trail were clear.
2025-11-11,MOCK-10061,Tech A,Service Desk,Incident,MFA,Authenticator App,Medium,Closed,2025-11-11 08:04,2025-11-11 08:38,0.6,94,Correct,Correct,Not Needed,Pass,None,Complete verification and reset note.
2025-11-11,MOCK-10062,Tech B,Service Desk,Incident,Microsoft 365,Email Access,Medium,Closed,2025-11-11 08:16,2025-11-11 09:12,0.9,83,Correct,Correct,Not Needed,Pass,None,Resolution summary was sufficient.
2025-11-11,MOCK-10063,Tech C,Desktop Support,Request,Hardware,Docking Station,Low,Closed,2025-11-11 08:31,2025-11-11 13:40,5.2,69,Correct,Correct,Not Needed,Improper Handling,Missing User Confirmation,Ticket closed without clear confirmation or delivery note.
2025-11-11,MOCK-10064,Tech D,EUC,Incident,Citrix / VDI,Session Launch,High,Closed,2025-11-11 08:47,2025-11-11 09:35,0.8,90,Correct,Correct,Needed,Pass,None,Clear impact and fix.
2025-11-11,MOCK-10065,Tech E,Applications,Incident,EHR Access,Access Request,Medium,Closed,2025-11-11 09:01,2025-11-11 12:22,3.4,80,Correct,Correct,Not Needed,Pass,None,Access workflow was documented.
2025-11-11,MOCK-10066,Tech F,Network,Incident,Network Connectivity,Wireless,High,Closed,2025-11-11 09:17,2025-11-11 12:05,2.8,76,Correct,Routing Concern,Needed,Routing Issue,Delayed Queue Transfer,Escalation occurred after repeated updates.
2025-11-11,MOCK-10067,Tech A,Service Desk,Incident,Printer,Network Printer,Medium,Closed,2025-11-11 09:33,2025-11-11 10:12,0.7,88,Correct,Correct,Not Needed,Pass,None,Printer issue resolved with clear notes.
2025-11-11,MOCK-10068,Tech B,Service Desk,Incident,Other,General Question,Low,Closed,2025-11-11 09:46,2025-11-11 10:05,0.3,97,Correct,Correct,Not Needed,Pass,None,Question and answer were documented.
2025-11-11,MOCK-10069,Tech C,Desktop Support,Incident,Hardware,Monitor,Low,Closed,2025-11-11 10:01,2025-11-11 14:45,4.7,85,Correct,Correct,Not Needed,Pass,None,Replacement and closure details were present.
2025-11-11,MOCK-10070,Tech D,EUC,Incident,Citrix / VDI,Profile Issue,Medium,Closed,2025-11-11 10:18,2025-11-11 11:50,1.5,73,Correct,Correct,Not Needed,Not Enough Information,Incomplete Troubleshooting Notes,Profile troubleshooting steps were incomplete.
2025-11-12,MOCK-10071,Tech E,Applications,Incident,Microsoft 365,OneDrive,Medium,Closed,2025-11-12 08:08,2025-11-12 09:55,1.8,89,Correct,Correct,Not Needed,Pass,None,Sync issue and outcome were clear.
2025-11-12,MOCK-10072,Tech F,Security,Incident,MFA,Device Change,High,Closed,2025-11-12 08:22,2025-11-12 09:02,0.7,92,Correct,Correct,Not Needed,Pass,None,Verification and resolution were complete.
2025-11-12,MOCK-10073,Tech A,Service Desk,Incident,Account Access,Account Lockout,Medium,Closed,2025-11-12 08:37,2025-11-12 09:05,0.5,65,Correct,Correct,Not Needed,Not Enough Information,Missing Resolution Detail,Close note did not describe how the issue was resolved.
2025-11-12,MOCK-10074,Tech B,Service Desk,Incident,MFA,Token Reset,Medium,Closed,2025-11-12 08:51,2025-11-12 09:25,0.6,84,Correct,Correct,Not Needed,Pass,None,Good verification and token reset note.
2025-11-12,MOCK-10075,Tech C,Desktop Support,Request,Software,Install Request,Low,Closed,2025-11-12 09:07,2025-11-12 15:30,6.4,81,Correct,Correct,Not Needed,Pass,None,Install details and outcome documented.
